broker, nTopics, nNotifications, nSubscriptions, msgSize, notificationFreq, Avg. Throughput, Avg. Delay, Avg. CPU(ns), Avg. CPU(%), Avg. Memory(B), rxBytes, rxPackets, txBytes, txPackets
activemq-broker,100,100000,5000,100,1000,902,5.0,5.7656218677E10,88.228,11.9673,4.43966791E8,3103050.0,8.76284077E8,3009994.0
activemq-broker,100,100000,5000,100,5000,1387,23385.0,7.5988209455E10,166.189,33.0844,4.2434932E8,3191313.0,1.168072756E9,3783706.0
activemq-broker,100,100000,5000,100,5000,1387,23385.0,7.5988209455E10,166.189,33.0844,4.2434932E8,3191313.0,1.168072756E9,3783706.0
activemq-broker,100,100000,5000,100,5000,1387,23385.0,7.5988209455E10,166.189,33.0844,4.2434932E8,3191313.0,1.168072756E9,3783706.0
activemq-broker,100,100000,5000,100,10000,1410,28266.0,8.4804982694E10,166.299,36.1534,4.11706065E8,3047066.0,1.092823646E9,3489545.0
activemq-broker,100,100000,5000,100,10000,1410,28266.0,8.4804982694E10,166.299,36.1534,4.11706065E8,3047066.0,1.092823646E9,3489545.0
activemq-broker,100,100000,5000,100,10000,1410,28266.0,8.4804982694E10,166.299,36.1534,4.11706065E8,3047066.0,1.092823646E9,3489545.0
activemq-broker,100,100000,5000,100,15000,1401,29587.0,8.6993129353E10,175.915,40.3603,4.18308862E8,3047767.0,1.065575044E9,3369178.0
activemq-broker,100,100000,5000,100,15000,1401,29587.0,8.6993129353E10,175.915,40.3603,4.18308862E8,3047767.0,1.065575044E9,3369178.0
activemq-broker,100,100000,5000,100,15000,1401,29587.0,8.6993129353E10,175.915,40.3603,4.18308862E8,3047767.0,1.065575044E9,3369178.0
activemq-broker,100,100000,5000,100,20000,1435,30383.0,8.594360295E10,171.167,40.7147,4.11187606E8,3032514.0,1.087679253E9,3474153.0
activemq-broker,100,100000,5000,100,20000,1435,30383.0,8.594360295E10,171.167,40.7147,4.11187606E8,3032514.0,1.087679253E9,3474153.0
activemq-broker,100,100000,5000,100,20000,1435,30383.0,8.594360295E10,171.167,40.7147,4.11187606E8,3032514.0,1.087679253E9,3474153.0
activemq-broker,100,100000,5000,100,30000,1388,32912.0,9.0508075141E10,170.019,39.7944,4.12317914E8,3076228.0,1.095726699E9,3460895.0
activemq-broker,100,100000,5000,100,30000,1388,32912.0,9.0508075141E10,170.019,39.7944,4.12317914E8,3076228.0,1.095726699E9,3460895.0
activemq-broker,100,100000,5000,100,30000,1388,32912.0,9.0508075141E10,170.019,39.7944,4.12317914E8,3076228.0,1.095726699E9,3460895.0
activemq-broker,100,100000,10000,100,1000,679,13181.0,1.16950529928E11,132.867,38.6592,8.90702879E8,6503479.0,2.004305925E9,6865268.0
activemq-broker,100,100000,10000,100,1000,679,13181.0,1.16950529928E11,132.867,38.6592,8.90702879E8,6503479.0,2.004305925E9,6865268.0
activemq-broker,100,100000,10000,100,1000,679,13181.0,1.16950529928E11,132.867,38.6592,8.90702879E8,6503479.0,2.004305925E9,6865268.0
activemq-broker,100,100000,10000,100,5000,617,71471.0,1.75789367051E11,147.339,64.1137,8.10854508E8,6266448.0,2.446991723E9,7885187.0
activemq-broker,100,100000,10000,100,5000,617,71471.0,1.75789367051E11,147.339,64.1137,8.10854508E8,6266448.0,2.446991723E9,7885187.0
activemq-broker,100,100000,10000,100,5000,617,71471.0,1.75789367051E11,147.339,64.1137,8.10854508E8,6266448.0,2.446991723E9,7885187.0
activemq-broker,100,100000,10000,100,10000,657,71897.0,1.81372777036E11,185.14,63.7776,8.01909729E8,6135300.0,2.279739562E9,7329092.0
activemq-broker,100,100000,10000,100,10000,657,71897.0,1.81372777036E11,185.14,63.7776,8.01909729E8,6135300.0,2.279739562E9,7329092.0
activemq-broker,100,100000,10000,100,10000,657,71897.0,1.81372777036E11,185.14,63.7776,8.01909729E8,6135300.0,2.279739562E9,7329092.0
activemq-broker,100,100000,10000,100,15000,648,74902.0,1.81115716624E11,184.129,71.6083,8.06026598E8,6167837.0,2.317290712E9,7269893.0
activemq-broker,100,100000,10000,100,15000,648,74902.0,1.81115716624E11,184.129,71.6083,8.06026598E8,6167837.0,2.317290712E9,7269893.0
activemq-broker,100,100000,10000,100,15000,648,74902.0,1.81115716624E11,184.129,71.6083,8.06026598E8,6167837.0,2.317290712E9,7269893.0
activemq-broker,100,100000,10000,100,20000,649,74215.0,1.87210025983E11,183.321,72.7139,8.02404711E8,6022326.0,2.280877372E9,7216065.0
activemq-broker,100,100000,10000,100,20000,649,74215.0,1.87210025983E11,183.321,72.7139,8.02404711E8,6022326.0,2.280877372E9,7216065.0
activemq-broker,100,100000,10000,100,20000,649,74215.0,1.87210025983E11,183.321,72.7139,8.02404711E8,6022326.0,2.280877372E9,7216065.0
activemq-broker,100,100000,10000,100,30000,647,75557.0,1.91297052846E11,183.03,69.8067,8.0411756E8,6055979.0,2.257770567E9,7346403.0
activemq-broker,100,100000,10000,100,30000,647,75557.0,1.91297052846E11,183.03,69.8067,8.0411756E8,6055979.0,2.257770567E9,7346403.0
activemq-broker,100,100000,10000,100,30000,647,75557.0,1.91297052846E11,183.03,69.8067,8.0411756E8,6055979.0,2.257770567E9,7346403.0

