broker, nTopics, nNotifications, nSubscriptions, msgSize, notificationFreq, Avg. Throughput, Avg. Delay, Avg. CPU(ns), Avg. CPU(%), Avg. Memory(B), rxBytes, rxPackets, txBytes, txPackets
ActiveMQ,100,100000,5000,100,1000,905,3.0,5.5810318099E10,84.9613,14.6784,4.45507189E8,3122676.0,8.76666294E8,3023977.0
ActiveMQ,100,100000,5000,100,1000,906,3.0,5.6291475544E10,83.7278,16.5998,4.4516851E8,3121198.0,8.75736205E8,3020790.0
ActiveMQ,100,100000,5000,100,5000,1436,21354.0,7.7432120931E10,181.155,33.0046,4.26197697E8,3114842.0,1.093685682E9,3405040.0
ActiveMQ,100,100000,5000,100,5000,1434,22081.0,7.6390685248E10,158.193,31.788,4.23447966E8,3159903.0,1.134202859E9,3633362.0
ActiveMQ,100,100000,5000,100,5000,1377,24169.0,7.6509701739E10,142.418,32.1559,4.21327181E8,3185798.0,1.154754846E9,3625377.0
ActiveMQ,100,100000,5000,100,10000,1409,27909.0,8.5526778009E10,159.856,39.9408,4.21275491E8,3098386.0,1.100706738E9,3430738.0
ActiveMQ,100,100000,5000,100,10000,1412,28587.0,8.31701071E10,173.584,39.8781,4.13778009E8,3087589.0,1.116499008E9,3484082.0
ActiveMQ,100,100000,5000,100,10000,1419,28311.0,8.3511709078E10,161.888,34.8514,4.15733645E8,3102467.0,1.115881579E9,3488119.0
ActiveMQ,100,100000,5000,100,15000,1451,28819.0,8.4505884173E10,189.379,39.6771,4.10065673E8,3006210.0,1.07732778E9,3478043.0
ActiveMQ,100,100000,5000,100,15000,1423,29474.0,8.5995000627E10,171.598,39.2874,4.17315285E8,3067542.0,1.086159566E9,3467911.0
ActiveMQ,100,100000,5000,100,15000,1437,28510.0,8.7872402173E10,185.821,37.7566,4.07619737E8,2985375.0,1.035238104E9,3255718.0
ActiveMQ,100,100000,5000,100,20000,1436,29997.0,8.691138679E10,182.723,40.6453,4.1706966E8,3066598.0,1.093953048E9,3515075.0
ActiveMQ,100,100000,5000,100,20000,1435,30097.0,8.7758062279E10,194.826,42.1047,4.16659411E8,3045752.0,1.082275964E9,3388489.0
ActiveMQ,100,100000,5000,100,20000,1410,31009.0,8.9991403696E10,178.843,39.7394,4.12295052E8,3027347.0,1.069504264E9,3424934.0
ActiveMQ,100,100000,5000,100,30000,1427,31208.0,8.9740273761E10,184.712,39.7117,4.09657514E8,2991715.0,1.041762622E9,3320894.0
ActiveMQ,100,100000,5000,100,30000,1372,32795.0,9.4540564253E10,180.199,38.6564,4.23138926E8,3126503.0,1.093998887E9,3427575.0
ActiveMQ,100,100000,5000,100,30000,1408,31755.0,8.7298889319E10,175.286,43.5246,4.12486369E8,3038945.0,1.096663836E9,3554497.0
ActiveMQ,100,100000,10000,100,1000,734,8906.0,1.1383765962E11,141.514,36.9275,8.95983487E8,6500524.0,1.924298999E9,6567735.0
ActiveMQ,100,100000,10000,100,1000,729,8485.0,1.19290281361E11,153.357,33.3944,9.00411046E8,6497033.0,1.933485235E9,6613384.0
ActiveMQ,100,100000,10000,100,1000,728,8749.0,1.20773309507E11,152.935,34.4918,8.84081812E8,6333869.0,1.908127092E9,6428973.0
ActiveMQ,100,100000,10000,100,5000,685,60094.0,1.70207674585E11,166.527,64.5257,8.20463764E8,6105087.0,2.251233759E9,7167270.0
ActiveMQ,100,100000,10000,100,5000,682,60807.0,1.7139614897E11,172.241,66.5563,8.17859148E8,6120041.0,2.281250265E9,7223125.0
ActiveMQ,100,100000,10000,100,5000,678,61393.0,1.63645304744E11,174.156,72.4956,8.35520154E8,6288369.0,2.298496466E9,7553824.0
ActiveMQ,100,100000,10000,100,10000,686,64850.0,1.699947787E11,174.076,70.3585,8.23732763E8,6074285.0,2.228362823E9,6954031.0
ActiveMQ,100,100000,10000,100,10000,665,69650.0,1.80664379688E11,184.905,68.2595,8.04883551E8,5966218.0,2.240775328E9,7212343.0
ActiveMQ,100,100000,10000,100,10000,665,68848.0,1.84070037416E11,182.594,76.6449,8.10898124E8,6061948.0,2.279939859E9,7299913.0
ActiveMQ,100,100000,10000,100,15000,679,70632.0,1.82679077529E11,177.821,73.5562,7.93045319E8,5988891.0,2.300865998E9,7453628.0
ActiveMQ,100,100000,10000,100,15000,675,69765.0,1.79389415895E11,184.268,71.5986,8.13636486E8,6018286.0,2.214649562E9,7114266.0
ActiveMQ,100,100000,10000,100,15000,667,72090.0,1.82115793173E11,173.303,71.9081,8.04362911E8,6102413.0,2.35689298E9,7586273.0
ActiveMQ,100,100000,10000,100,20000,667,70798.0,1.90424034669E11,196.201,71.7434,8.28392323E8,6154195.0,2.1811337E9,7137709.0
ActiveMQ,100,100000,10000,100,20000,675,72129.0,1.77609685803E11,182.185,70.2168,7.95916141E8,5985808.0,2.281151722E9,7311727.0
ActiveMQ,100,100000,10000,100,20000,669,71026.0,1.8641462254E11,174.336,68.7104,8.13028644E8,6039202.0,2.202595711E9,7124757.0
ActiveMQ,100,100000,10000,100,30000,675,72689.0,1.88421154608E11,186.204,70.3262,7.97719258E8,5973084.0,2.275702293E9,7332744.0
ActiveMQ,100,100000,10000,100,30000,668,71231.0,1.92782391253E11,180.37,66.4319,8.16888458E8,6059899.0,2.186060494E9,6911962.0
ActiveMQ,100,100000,10000,100,30000,668,73082.0,1.87954541128E11,182.72,72.1824,8.02038938E8,6005395.0,2.294816796E9,7313027.0
